founder_id,founder_age,founder_gender,years_with_startup,founder_role,monthly_revenue_generated,work_life_balance_rating,venture_satisfaction,startup_performance_rating,funding_rounds_led,working_overtime,distance_from_investor_hub,education_background,personal_status,num_dependents,startup_stage,team_size_category,years_since_founding,remote_operations,leadership_scope,innovation_support,startup_reputation,founder_visibility,retention_status
46550,43,Male,34,Technology,9033.0,Good,High,Below Average,1,No,50,High School,Married,1.0,Entry,Medium,97.0,No,No,No,Poor,Medium,Stayed
60485,30,Male,10,Media,,,,Average,1,Yes,68,Bachelor’s Degree,Married,,Entry,,,No,No,No,Poor,Low,Left
26078,31,Male,19,Healthcare,6135.0,Good,High,High,0,No,41,PhD,Single,0.0,Entry,Medium,88.0,No,No,No,Good,Medium,Stayed
13319,47,Male,28,Healthcare,7063.0,Poor,Very High,Below Average,0,No,62,Associate Degree,Married,0.0,Senior,Medium,49.0,No,No,Yes,Good,Medium,Stayed
65739,58,Female,40,Media,6940.0,Good,High,High,0,No,49,Bachelor’s Degree,Married,1.0,Senior,Large,67.0,Yes,No,No,Poor,Medium,Stayed
43732,40,Male,17,Education,4733.0,Poor,High,Below Average,1,No,69,PhD,Married,4.0,Entry,Small,60.0,No,No,No,Excellent,Medium,Stayed
45545,35,Male,17,Healthcare,7625.0,Good,High,High,0,No,26,Bachelor’s Degree,Married,0.0,Mid,Large,31.0,No,No,No,Good,High,Stayed
72101,31,Female,2,Technology,6640.0,Fair,Medium,Average,0,No,13,Associate Degree,Divorced,4.0,Senior,Large,33.0,No,No,Yes,Good,High,Stayed
46992,31,Male,8,Technology,7287.0,Excellent,Medium,High,2,Yes,33,Master’s Degree,Single,0.0,Entry,Small,69.0,No,No,Yes,Excellent,Medium,Stayed
54577,40,Male,5,Healthcare,6993.0,Fair,Medium,Average,0,Yes,57,High School,Single,0.0,Entry,Large,75.0,No,No,No,Fair,Low,Left
23371,49,Female,22,Finance,12041.0,,,Low,0,No,62,PhD,Single,,Mid,,,No,No,Yes,Good,Low,Stayed
41178,33,Female,1,Finance,6534.0,Fair,Low,Average,1,No,21,Master’s Degree,Single,4.0,Entry,Small,12.0,No,No,No,Good,Medium,Left
17004,52,Male,15,Healthcare,7529.0,Good,Medium,Average,0,No,61,Bachelor’s Degree,Married,5.0,Entry,Large,34.0,No,No,No,Good,Very High,Stayed
18068,51,Male,12,Finance,4421.0,,,Average,1,No,62,Master’s Degree,Single,0.0,Entry,Medium,14.0,Yes,No,No,Good,High,Stayed
19252,27,Female,11,Technology,9197.0,Good,High,High,0,Yes,53,High School,Married,2.0,Senior,Large,35.0,No,No,No,Good,Medium,Stayed
65212,58,Male,6,Healthcare,8762.0,Fair,High,High,0,Yes,72,Bachelor’s Degree,Married,0.0,Entry,Small,38.0,No,No,No,Good,Medium,Left
36263,42,Female,7,Technology,8744.0,Good,Medium,High,1,Yes,41,High School,Single,3.0,Entry,Small,71.0,Yes,No,Yes,Good,Medium,Left
23691,26,Male,3,Healthcare,7406.0,Good,Low,Low,3,No,91,Associate Degree,Married,0.0,Entry,Medium,57.0,Yes,No,No,Poor,Low,Left
20242,37,Female,7,Media,6099.0,,,High,0,No,19,Bachelor’s Degree,Married,0.0,Senior,Small,16.0,Yes,No,No,Excellent,Low,Stayed
52881,55,Male,13,Technology,9626.0,Good,High,Average,2,No,27,Bachelor’s Degree,Single,0.0,Senior,Small,81.0,No,No,Yes,Good,High,Stayed
32705,46,Female,6,Technology,10298.0,Fair,High,Average,0,No,47,Bachelor’s Degree,Single,0.0,Entry,Medium,84.0,No,No,No,Fair,Low,Left
71450,41,Male,2,Technology,8972.0,Good,Very High,Average,1,No,76,Master’s Degree,Divorced,1.0,Mid,Large,72.0,No,No,Yes,Excellent,Low,Left
29475,58,Female,14,Technology,9501.0,Fair,Medium,Average,1,Yes,56,Bachelor’s Degree,Single,4.0,Entry,Large,52.0,No,No,No,Poor,Medium,Left
34465,40,Female,22,Education,4023.0,,Very High,Low,0,No,58,Master’s Degree,Married,4.0,Entry,Medium,55.0,No,Yes,No,Good,Medium,Left
21012,53,Male,41,Finance,,,,Below Average,0,No,24,Master’s Degree,Single,,Entry,,,No,No,No,Good,High,Left
42659,46,Female,9,Education,4237.0,,,Average,0,Yes,36,Bachelor’s Degree,Married,,Senior,Large,,No,No,No,Poor,Medium,Left
47934,45,Male,9,Education,6437.0,Fair,High,High,1,No,53,Associate Degree,Married,4.0,Mid,Medium,31.0,No,No,No,Poor,Medium,Left
71441,56,Male,32,Healthcare,6690.0,Excellent,Medium,High,1,No,35,High School,Married,1.0,Entry,Small,80.0,No,No,No,Fair,Low,Stayed
63893,23,Male,11,Technology,7038.0,Good,Medium,Average,0,No,74,Associate Degree,Married,0.0,Entry,Large,55.0,No,No,No,Fair,Low,Left
29637,55,Male,40,Healthcare,9177.0,,,Below Average,0,No,65,Associate Degree,Single,,Mid,Medium,,No,No,No,Excellent,Low,Left
38110,48,Female,19,Technology,8761.0,Good,High,Below Average,0,No,75,High School,Married,3.0,Entry,Medium,90.0,Yes,No,No,Poor,Very High,Stayed
70639,47,Male,24,Media,5428.0,Excellent,Low,Average,0,Yes,93,Associate Degree,Divorced,1.0,Entry,Medium,49.0,No,No,No,Good,Medium,Stayed
8021,26,Female,8,Healthcare,7859.0,Good,Medium,Average,4,No,44,High School,Married,5.0,Senior,Small,35.0,No,No,No,Good,Low,Stayed
28368,21,Male,4,Technology,10298.0,Good,High,Average,2,No,28,High School,Single,0.0,Senior,Medium,53.0,No,No,No,Fair,Low,Left
575,44,Male,13,Healthcare,7430.0,Good,Low,Average,1,Yes,23,Associate Degree,Married,3.0,Mid,Medium,73.0,No,No,No,Good,Low,Stayed
49959,24,Male,2,Education,4573.0,Fair,High,High,2,Yes,37,Bachelor’s Degree,Married,0.0,Senior,Small,62.0,No,No,No,Good,Medium,Stayed
72401,31,Male,13,Technology,9434.0,Good,Very High,Below Average,0,No,76,Bachelor’s Degree,Married,0.0,Mid,Medium,83.0,Yes,No,No,Fair,Low,Stayed
24980,45,Female,24,Finance,4583.0,Excellent,Very High,High,2,Yes,55,Associate Degree,Married,1.0,Mid,Medium,62.0,No,No,No,Good,Medium,Left
11385,19,Male,3,Healthcare,7979.0,Fair,Medium,Low,1,Yes,46,High School,Married,2.0,Entry,Medium,27.0,No,No,Yes,Fair,Medium,Left
4856,59,Female,30,Technology,10166.0,,,Average,1,No,32,Associate Degree,Married,,Entry,Medium,,No,No,No,Good,High,Left
14265,50,Male,35,Media,5316.0,Fair,High,Average,2,No,21,Bachelor’s Degree,Married,0.0,Mid,Medium,80.0,Yes,No,No,Good,Medium,Stayed
370,59,Male,45,Technology,10030.0,Good,Low,Average,2,No,64,High School,Married,3.0,Mid,Large,52.0,No,No,No,Poor,Low,Left
25774,54,Male,2,Healthcare,8736.0,Good,Very High,Average,0,Yes,86,Associate Degree,Single,1.0,Entry,Small,5.0,No,No,No,Poor,Low,Left
53105,58,Female,39,Healthcare,6929.0,,High,High,0,No,56,Associate Degree,Married,3.0,Entry,Large,76.0,No,Yes,Yes,Poor,High,Left
40919,21,Male,2,Healthcare,10167.0,Fair,High,High,0,Yes,54,Associate Degree,Married,2.0,Mid,Medium,65.0,No,No,No,Fair,Medium,Left
63135,51,Male,16,Healthcare,9063.0,Poor,Very High,Average,0,No,9,Associate Degree,Single,1.0,Mid,Small,90.0,No,No,Yes,Good,Low,Left
65852,45,Female,20,Healthcare,8926.0,Excellent,High,Average,4,No,89,High School,Single,1.0,Senior,Small,80.0,Yes,No,No,Good,Medium,Stayed
32413,30,Female,15,Education,3204.0,Good,High,Low,0,No,45,Bachelor’s Degree,Divorced,1.0,Senior,Small,94.0,No,Yes,No,Excellent,Low,Stayed
71343,29,Female,11,Finance,9306.0,Fair,High,Average,0,No,51,Master’s Degree,Single,2.0,Entry,Large,45.0,No,No,No,Excellent,Low,Left
27498,59,Male,43,Education,4862.0,Good,Low,Average,0,No,28,Associate Degree,Married,1.0,Mid,Small,119.0,No,No,No,Good,High,Stayed
57482,35,Female,26,Technology,7576.0,Excellent,High,Low,4,No,81,High School,Married,5.0,Mid,Small,53.0,No,No,Yes,Good,Low,Stayed
38163,40,Female,29,Finance,11735.0,Fair,High,Average,3,No,87,Associate Degree,Divorced,3.0,Entry,Small,56.0,No,No,No,Fair,Medium,Stayed
55188,20,Male,2,Media,6453.0,Excellent,Medium,Average,0,No,51,Associate Degree,Married,0.0,Entry,Small,62.0,No,No,No,Good,High,Stayed
43292,50,Male,18,Technology,7359.0,Good,High,High,1,No,67,Associate Degree,Divorced,2.0,Entry,Medium,63.0,No,No,No,Good,Low,Left
72087,44,Male,35,Healthcare,7838.0,Fair,High,Average,1,No,19,Associate Degree,Married,4.0,Senior,Small,53.0,No,No,No,Excellent,High,Stayed
23689,20,Female,3,Technology,10943.0,Poor,High,Below Average,0,No,62,Associate Degree,Single,0.0,Entry,Medium,15.0,No,No,No,Fair,Medium,Left
41073,28,Male,20,Finance,10513.0,Good,High,Average,0,No,73,Bachelor’s Degree,Married,1.0,Mid,Medium,94.0,No,Yes,No,Poor,Medium,Stayed
24229,28,Male,6,Healthcare,6669.0,Good,Very High,High,0,No,39,PhD,Single,3.0,Mid,Large,41.0,No,No,No,Poor,Low,Left
26101,36,Male,17,Technology,8309.0,Good,High,Average,2,Yes,24,Associate Degree,Single,0.0,Mid,Large,89.0,No,No,No,Good,Low,Stayed
18495,40,Male,4,Media,6426.0,,,Average,0,No,13,Bachelor’s Degree,Married,,Entry,Medium,10.0,No,No,No,Excellent,Medium,Left
70389,56,Female,46,Healthcare,8423.0,Good,High,High,0,No,96,Master’s Degree,Single,3.0,Entry,Medium,118.0,No,No,No,Fair,Medium,Left
13011,47,Male,1,Technology,8723.0,Good,Very High,High,2,No,73,High School,Married,1.0,Senior,Small,32.0,No,No,No,Fair,Low,Stayed
34213,21,Male,13,Healthcare,9152.0,,,Average,0,No,60,Bachelor’s Degree,Married,,Entry,Medium,,Yes,No,No,Good,Very High,Stayed
1115,18,Female,7,Technology,8546.0,Poor,Very High,High,0,Yes,94,High School,Single,1.0,Senior,Small,64.0,Yes,No,No,Fair,High,Left
68988,22,Female,13,Media,5797.0,Excellent,Very High,Below Average,0,No,78,PhD,Married,4.0,Entry,Small,49.0,Yes,No,No,Good,Medium,Stayed
36546,52,Male,19,Education,3625.0,,High,Average,1,No,54,High School,Married,2.0,Mid,Small,32.0,No,No,No,Good,Low,Stayed
12809,44,Male,36,Finance,8048.0,Fair,Very High,Average,2,No,72,High School,Single,3.0,Mid,Medium,57.0,Yes,No,No,Fair,Medium,Left
46298,42,Male,26,Education,4205.0,Good,High,Average,1,No,89,Master’s Degree,Single,3.0,Senior,Medium,39.0,No,No,No,Fair,High,Stayed
37508,53,Male,41,Education,4373.0,Fair,High,Average,2,Yes,91,Master’s Degree,Married,4.0,Mid,Medium,53.0,No,No,No,Poor,Medium,Left
51580,22,Male,2,Finance,6925.0,Excellent,High,Average,1,No,79,Associate Degree,Married,2.0,Senior,Medium,73.0,Yes,No,No,Fair,Medium,Stayed
43465,50,Male,38,Healthcare,8299.0,Fair,Low,Low,0,No,28,Bachelor’s Degree,Single,0.0,Mid,Large,59.0,No,No,No,Fair,High,Left
36678,56,Female,40,Technology,11556.0,Good,Medium,Average,2,No,1,PhD,Single,2.0,Mid,Small,66.0,No,No,No,Excellent,Medium,Stayed
41684,42,Male,10,Media,5820.0,Fair,Very High,High,1,Yes,86,High School,Single,2.0,Senior,Small,82.0,No,No,Yes,Excellent,High,Left
70584,18,Male,6,Technology,7631.0,Fair,Low,Below Average,0,No,1,Master’s Degree,Single,3.0,Entry,Medium,69.0,No,No,No,Good,Low,Left
19528,39,Male,3,Media,5891.0,Good,Low,Average,2,Yes,88,High School,Divorced,4.0,Mid,Small,9.0,No,No,No,Good,Medium,Left
69121,22,Female,9,Finance,8376.0,Fair,High,Below Average,3,No,46,High School,Single,1.0,Mid,Medium,11.0,No,No,No,Good,Medium,Left
18487,28,Male,3,Media,6185.0,Fair,High,Average,0,No,51,Associate Degree,Married,0.0,Mid,Medium,62.0,No,No,Yes,Fair,Low,Left
20960,47,Female,13,Healthcare,6467.0,Good,High,Below Average,2,No,25,Bachelor’s Degree,Divorced,2.0,Entry,Medium,82.0,No,No,No,Poor,High,Left
4392,56,Female,6,Finance,6954.0,Good,High,Average,1,No,65,Bachelor’s Degree,Married,2.0,Entry,Small,17.0,Yes,No,No,Good,Medium,Left
6112,51,Female,33,Technology,7647.0,Good,Low,Average,1,Yes,6,High School,Married,1.0,Mid,Small,44.0,No,No,No,Fair,Low,Left
40908,55,Female,43,Healthcare,7440.0,Poor,Medium,High,0,Yes,1,High School,Married,0.0,Entry,Small,97.0,Yes,No,No,Good,Medium,Left
53019,56,Male,38,Healthcare,8883.0,Poor,Low,Average,0,No,69,Master’s Degree,Divorced,3.0,Mid,Medium,100.0,No,No,No,Fair,Low,Left
19879,24,Male,8,Education,5652.0,,,High,0,No,76,High School,Married,1.0,Senior,Small,23.0,No,No,No,Fair,Medium,Stayed
63588,26,Male,5,Finance,7376.0,Fair,High,Average,0,No,70,Bachelor’s Degree,Married,1.0,Senior,Large,33.0,No,No,Yes,Poor,Low,Left
58518,52,Male,26,Technology,7306.0,Good,Low,Average,0,Yes,19,High School,Single,3.0,Entry,Small,35.0,Yes,No,No,Fair,Low,Stayed
62060,54,Male,42,Finance,10006.0,Good,High,Below Average,0,No,75,Master’s Degree,Married,1.0,Senior,Small,93.0,No,No,No,Good,Medium,Stayed
1127,45,Male,6,Technology,11421.0,Poor,High,Average,1,No,18,Bachelor’s Degree,Divorced,4.0,Mid,Small,27.0,Yes,No,Yes,Good,Low,Stayed
59154,20,Male,9,Healthcare,8161.0,Good,Low,Average,0,No,86,Bachelor’s Degree,Single,2.0,Mid,Medium,35.0,No,No,No,Good,Medium,Left
37737,51,Male,10,Education,3755.0,,,Average,0,No,61,High School,Divorced,,Entry,Medium,26.0,No,No,No,Good,Medium,Left
8386,51,Male,22,Media,5405.0,Excellent,Medium,Average,1,No,57,Master’s Degree,Married,3.0,Entry,Small,27.0,No,No,No,Fair,Medium,Stayed
